"Overledenen; doden als gevolg van verkeersongeval in Nederland, provincie"
"Geslacht: Totaal mannen en vrouwen"
"";""
"";"Onderwerp";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden";"Verkeersdoden"
"";"Regio's";"Nederland";"Groningen (PV)";"Friesland (PV)";"Drenthe (PV)";"Overijssel (PV)";"Flevoland (PV)";"Gelderland (PV)";"Utrecht (PV)";"Noord-Holland (PV)";"Zuid-Holland (PV)";"Zeeland (PV)";"Noord-Brabant (PV)";"Limburg (PV)";"Niet in te delen (PV)"
"Leeftijd";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Totaal alle leeftijden";"2015";"621";"28";"33";"31";"41";"12";"83";"36";"78";"88";"21";"117";"53";"0"
"Totaal alle leeftijden";"2016";"629";"15";"33";"29";"59";"11";"98";"44";"86";"70";"22";"113";"49";"0"
"Totaal alle leeftijden";"2017";"613";"25";"26";"20";"65";"10";"83";"40";"81";"97";"22";"98";"46";"0"
"Totaal alle leeftijden";"2018";"678";"22";"27";"26";"49";"10";"93";"33";"90";"100";"20";"150";"58";"0"
"Totaal alle leeftijden";"2019";"661";"19";"29";"29";"57";"16";"87";"45";"87";"85";"13";"142";"52";"0"
"Jonger dan 15 jaar";"2015";"18";"0";"0";"0";"2";"0";"4";"2";"2";"1";"0";"3";"4";"0"
"Jonger dan 15 jaar";"2016";"12";"0";"1";"1";"2";"1";"3";"0";"1";"0";"1";"1";"1";"0"
"Jonger dan 15 jaar";"2017";"16";"1";"0";"0";"2";"3";"0";"0";"3";"4";"2";"1";"0";"0"
"Jonger dan 15 jaar";"2018";"19";"0";"1";"0";"2";"0";"2";"0";"1";"3";"1";"8";"1";"0"
"Jonger dan 15 jaar";"2019";"11";"0";"0";"0";"2";"2";"2";"2";"1";"2";"0";"0";"0";"0"
"15 tot 20 jaar";"2015";"44";"1";"1";"6";"1";"1";"7";"2";"9";"3";"1";"10";"2";"0"
"15 tot 20 jaar";"2016";"31";"1";"0";"1";"4";"0";"6";"4";"4";"4";"0";"4";"3";"0"
"15 tot 20 jaar";"2017";"33";"2";"1";"2";"7";"0";"3";"0";"3";"5";"3";"4";"3";"0"
"15 tot 20 jaar";"2018";"36";"1";"0";"2";"1";"2";"4";"3";"7";"3";"1";"8";"4";"0"
"15 tot 20 jaar";"2019";"38";"0";"2";"5";"2";"1";"6";"3";"4";"7";"0";"6";"2";"0"
"20 tot 30 jaar";"2015";"87";"8";"3";"3";"4";"2";"12";"3";"9";"10";"1";"21";"11";"0"
"20 tot 30 jaar";"2016";"99";"4";"3";"6";"3";"2";"16";"8";"13";"12";"6";"19";"7";"0"
"20 tot 30 jaar";"2017";"80";"3";"3";"2";"10";"1";"9";"6";"10";"15";"1";"13";"7";"0"
"20 tot 30 jaar";"2018";"87";"6";"1";"3";"7";"0";"13";"2";"12";"13";"1";"21";"8";"0"
"20 tot 30 jaar";"2019";"112";"6";"4";"5";"9";"0";"12";"6";"9";"14";"3";"36";"8";"0"
"30 tot 40 jaar";"2015";"54";"1";"4";"4";"3";"1";"10";"1";"3";"11";"2";"9";"5";"0"
"30 tot 40 jaar";"2016";"48";"2";"4";"3";"1";"0";"7";"1";"4";"7";"2";"10";"7";"0"
"30 tot 40 jaar";"2017";"67";"3";"1";"4";"2";"1";"8";"5";"11";"8";"3";"14";"7";"0"
"30 tot 40 jaar";"2018";"60";"2";"2";"1";"6";"3";"13";"1";"10";"6";"4";"9";"3";"0"
"30 tot 40 jaar";"2019";"71";"3";"1";"0";"7";"3";"7";"5";"11";"7";"0";"17";"10";"0"
"40 tot 50 jaar";"2015";"55";"2";"2";"3";"4";"1";"10";"5";"5";"7";"1";"13";"2";"0"
"40 tot 50 jaar";"2016";"56";"4";"1";"3";"8";"1";"3";"2";"8";"4";"3";"15";"4";"0"
"40 tot 50 jaar";"2017";"65";"5";"4";"2";"6";"3";"11";"3";"6";"8";"1";"9";"7";"0"
"40 tot 50 jaar";"2018";"59";"2";"1";"2";"2";"0";"12";"3";"7";"11";"2";"14";"3";"0"
"40 tot 50 jaar";"2019";"46";"1";"1";"1";"2";"0";"10";"4";"7";"3";"2";"11";"4";"0"
"50 tot 60 jaar";"2015";"73";"7";"6";"1";"4";"3";"5";"4";"9";"10";"0";"18";"6";"0"
"50 tot 60 jaar";"2016";"80";"1";"4";"3";"11";"1";"12";"5";"13";"7";"4";"13";"6";"0"
"50 tot 60 jaar";"2017";"64";"5";"3";"3";"6";"1";"11";"2";"7";"7";"3";"13";"3";"0"
"50 tot 60 jaar";"2018";"67";"1";"2";"2";"4";"2";"6";"5";"7";"11";"3";"17";"7";"0"
"50 tot 60 jaar";"2019";"59";"2";"2";"4";"5";"3";"3";"6";"9";"8";"1";"13";"3";"0"
"60 tot 70 jaar";"2015";"78";"5";"7";"3";"5";"3";"9";"4";"14";"12";"5";"5";"6";"0"
"60 tot 70 jaar";"2016";"75";"1";"5";"7";"8";"3";"6";"5";"8";"12";"2";"12";"6";"0"
"60 tot 70 jaar";"2017";"74";"2";"4";"0";"10";"0";"10";"7";"11";"10";"2";"13";"5";"0"
"60 tot 70 jaar";"2018";"78";"3";"3";"5";"5";"1";"7";"3";"18";"11";"3";"16";"3";"0"
"60 tot 70 jaar";"2019";"75";"3";"3";"3";"10";"1";"10";"6";"10";"10";"0";"12";"7";"0"
"70 tot 80 jaar";"2015";"93";"1";"5";"6";"8";"0";"11";"9";"17";"11";"1";"17";"7";"0"
"70 tot 80 jaar";"2016";"93";"2";"6";"3";"6";"2";"16";"7";"20";"10";"1";"14";"6";"0"
"70 tot 80 jaar";"2017";"92";"2";"4";"3";"8";"1";"14";"8";"10";"17";"5";"13";"7";"0"
"70 tot 80 jaar";"2018";"129";"6";"7";"5";"11";"1";"18";"7";"12";"17";"2";"25";"18";"0"
"70 tot 80 jaar";"2019";"123";"2";"11";"7";"10";"3";"20";"4";"15";"14";"4";"25";"8";"0"
"80 jaar of ouder";"2015";"119";"3";"5";"5";"10";"1";"15";"6";"10";"23";"10";"21";"10";"0"
"80 jaar of ouder";"2016";"135";"0";"9";"2";"16";"1";"29";"12";"15";"14";"3";"25";"9";"0"
"80 jaar of ouder";"2017";"122";"2";"6";"4";"14";"0";"17";"9";"20";"23";"2";"18";"7";"0"
"80 jaar of ouder";"2018";"143";"1";"10";"6";"11";"1";"18";"9";"16";"25";"3";"32";"11";"0"
"80 jaar of ouder";"2019";"126";"2";"5";"4";"10";"3";"17";"9";"21";"20";"3";"22";"10";"0"
"Bron: CBS"
