"Geslacht";"Leeftijd";"Perioden";"Dodelijke ongevallen (aantallen)/Totaal dodelijke ongevallen (aantal)";"Dodelijke ongevallen (aantallen)/Dodelijke vervoersongevallen/Totaal dodelijke vervoersongevallen (aantal)";"Dodelijke ongevallen (aantallen)/Dodelijke vervoersongevallen/Wijze van deelname slachtoffer/Voetganger (aantal)";"Dodelijke ongevallen (aantallen)/Dodelijke vervoersongevallen/Wijze van deelname slachtoffer/Fiets (aantal)";"Dodelijke ongevallen (aantallen)/Dodelijke vervoersongevallen/Wijze van deelname slachtoffer/Brom- en snorfiets en brommobiel (aantal)";"Dodelijke ongevallen (aantallen)/Dodelijke vervoersongevallen/Wijze van deelname slachtoffer/Gemot. invalidenvoertuig, scootmobiel (aantal)";"Dodelijke ongevallen (aantallen)/Dodelijke vervoersongevallen/Wijze van deelname slachtoffer/Motorfiets (aantal)";"Dodelijke ongevallen (aantallen)/Dodelijke vervoersongevallen/Wijze van deelname slachtoffer/Personenauto (aantal)";"Dodelijke ongevallen (aantallen)/Dodelijke vervoersongevallen/Wijze van deelname slachtoffer/Bestelauto, vrachtauto (aantal)";"Dodelijke ongevallen (aantallen)/Dodelijke vervoersongevallen/Wijze van deelname slachtoffer/Overig/onbekend (aantal)";"Dodelijke ongevallen (aantallen)/Accidentele val (aantal)";"Dodelijke ongevallen (aantallen)/Accidentele verdrinking (aantal)";"Dodelijke ongevallen (aantallen)/Acc vergiftiging incl opzet niet bepaald/Totaal accidentele vergiftiging (aantal)";"Dodelijke ongevallen (aantallen)/Acc vergiftiging incl opzet niet bepaald/Oorzaak vergiftiging/Medicijnen (aantal)";"Dodelijke ongevallen (aantallen)/Acc vergiftiging incl opzet niet bepaald/Oorzaak vergiftiging/Drugs (aantal)";"Dodelijke ongevallen (aantallen)/Acc vergiftiging incl opzet niet bepaald/Oorzaak vergiftiging/Alcohol (aantal)";"Dodelijke ongevallen (aantallen)/Acc vergiftiging incl opzet niet bepaald/Oorzaak vergiftiging/Overig/onbekend (aantal)";"Dodelijke ongevallen (aantallen)/Overige dodelijke ongevallen/Totaal overige dodelijke ongevallen (aantal)";"Dodelijke ongevallen (aantallen)/Overige dodelijke ongevallen/Oorzaak overige dodelijke ongevallen/Mechanisch effect (aantal)";"Dodelijke ongevallen (aantallen)/Overige dodelijke ongevallen/Oorzaak overige dodelijke ongevallen/Rook, vuur en vlammen (aantal)";"Dodelijke ongevallen (aantallen)/Overige dodelijke ongevallen/Oorzaak overige dodelijke ongevallen/Verstikking (aantal)"
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"1996";3367;1314;127;230;98;2;93;588;26;150;1605;71;117;21;60;8;28;260;69;80;38
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2000";3315;1123;101;222;102;6;89;500;53;50;1675;107;138;24;84;10;20;272;84;66;47
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2005";3486;802;80;177;59;16;74;325;22;49;1961;93;150;37;80;15;18;480;59;67;79
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2008";3723;726;55;174;52;22;63;291;35;34;2093;77;161;41;88;19;13;666;41;57;98
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2009";3831;715;64;181;55;13;64;277;23;38;2217;81;177;41;103;14;19;641;51;37;97
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2010";3877;710;67;155;43;18;58;225;21;123;2303;80;121;25;69;13;14;663;41;39;103
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2011";3941;696;68;197;45;29;52;229;21;55;2420;74;139;32;78;11;18;612;52;25;65
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2012";4332;684;64;204;48;23;53;232;17;43;2795;81;147;32;87;7;21;625;45;28;47
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2013";4343;589;52;186;51;35;29;177;21;38;2884;84;149;36;90;13;10;637;53;39;42
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2014";4550;584;44;180;45;28;50;179;14;44;3030;77;152;67;54;18;13;707;50;37;59
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2015";5131;631;49;177;43;42;46;205;15;54;3486;83;178;53;95;10;20;753;57;39;40
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2016";5597;656;45;191;44;37;41;221;23;54;3883;86;199;61;112;14;12;773;47;42;51
"Totaal mannen en vrouwen";"Totaal alle leeftijden";"2017";5825;624;49;197;46;26;49;183;22;52;4032;85;231;38;158;15;20;853;45;40;43
